caller,is_caller_kernel,callee,github_link
block_scaled_1d_cast_transpose_kernel,True,cvt_fp32_to_fp4_4x,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/transpose/quantize_transpose_vector_blockwise_fp4.cu#L544
group_quantize_transpose_nvfp4_kernel,True,mul_cvt_bf16_to_fp4_4x,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/group_quantize_transpose_nvfp4.cuh#L456
group_quantize_transpose_nvfp4_kernel,True,mul_cvt_fp32_to_fp4_4x,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/group_quantize_transpose_nvfp4.cuh#L461
quantize_mxfp8_kernel_cast_only,True,to_e8m0,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/mxfp8/specialized/quantize_mxfp8.cuh#L280
quantize_transpose_nvfp4_2D_kernel,True,mul_cvt_bf16_to_fp4_4x,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/quantize_transpose_nvfp4.cuh#L940
quantize_transpose_nvfp4_2D_kernel,True,mul_cvt_fp32_to_fp4_4x,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/quantize_transpose_nvfp4.cuh#L945
quantize_transpose_nvfp4_kernel,True,mul_cvt_bf16_to_fp4_4x,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/quantize_transpose_nvfp4.cuh#L361
quantize_transpose_nvfp4_kernel,True,mul_cvt_fp32_to_fp4_4x,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/quantize_transpose_nvfp4.cuh#L366
quantize_transpose_nvfp4_tuned_1D_kernel,True,colwise_scaling,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/specialized/quantize_transpose_nvfp4_tuned_1D.cuh#L578
quantize_transpose_nvfp4_tuned_1D_kernel,True,rowwise_scaling,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/specialized/quantize_transpose_nvfp4_tuned_1D.cuh#L573
